,,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC,,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC
NPInter_10412,,random,0.915486937,0.925895476,0.903458928,0.927516912,0.831454841,0.072483084,0.903458928,0.95925338,,NPInter_10412,91.55,92.59,90.35,92.75,0.8315,7.25,90.35,95.93
NPInter_10412,,random,0.0041737,0.0058822,0.0079702,0.0064621,0.0082538,0.0064621,0.0079702,0.0030335,,NPInter_10412,0.42,0.59,0.8,0.65,0.0083,0.65,0.8,0.3
NPInter_10412,,sort random,0.973905219,0.977960543,0.969804624,0.978006972,0.947951336,0.021993033,0.969804624,0.996074505,,NPInter_10412,97.39,97.8,96.98,97.8,0.948,2.2,96.98,99.61
NPInter_10412,,sort random,0.0022942,0.0034388,0.0031367,0.0035432,0.0045756,0.0035433,0.0031367,0.0003743,,NPInter_10412,0.23,0.34,0.31,0.35,0.0046,0.35,0.31,0.04
NPInter_10412,,sort,0.980229555,0.987362022,0.973049924,0.987409161,0.960687563,0.012590833,0.973049924,0.997841364,,NPInter_10412,98.02,98.74,97.3,98.74,0.9607,1.26,97.3,99.78
NPInter_10412,,sort,0.0024058,0.004121,0.0036154,0.0042179,0.0047798,0.0042179,0.0036154,0.0002845,,NPInter_10412,0.24,0.41,0.36,0.42,0.0048,0.42,0.36,0.03
RPI2241,,random,0.557520817,0.563242174,0.546906114,0.56811963,0.117960994,0.431880352,0.546906114,0.587736962,,RPI2241,55.75,56.32,54.69,56.81,0.118,43.19,54.69,58.77
RPI2241,,random,0.0069203,0.0121143,0.0491256,0.0560484,0.0138161,0.0560484,0.0491256,0.0066924,,RPI2241,0.69,1.21,4.91,5.6,0.0138,5.6,4.91,0.67
RPI2241,,sort random,0.960195718,0.967359171,0.953139825,0.967241207,0.920981726,0.03275881,0.953139825,0.985285409,,RPI2241,96.02,96.74,95.31,96.72,0.921,3.28,95.31,98.53
RPI2241,,sort random,0.0041402,0.009504,0.0076674,0.010182,0.0080898,0.010182,0.0076674,0.0004588,,RPI2241,0.41,0.95,0.77,1.02,0.0081,1.02,0.77,0.05
RPI2241,,sort,0.970927036,0.975054636,0.966886406,0.974967058,0.942122441,0.02503291,0.966886406,0.98967466,,RPI2241,97.09,97.51,96.69,97.5,0.9421,2.5,96.69,98.97
RPI2241,,sort,0.0026905,0.0052137,0.0028987,0.0054629,0.005293,0.0054629,0.0028987,0.000782,,RPI2241,0.27,0.52,0.29,0.55,0.0053,0.55,0.29,0.08
RPI369,,random,0.358221185,0.356680201,0.36234728,0.354198438,-0.28592609,0.645801539,0.36234728,0.305658015,,RPI369,35.82,35.67,36.23,35.42,-0.2859,64.58,36.23,30.57
RPI369,,random,0.0154984,0.0203035,0.0399776,0.0330357,0.0315217,0.0330357,0.0399776,0.0176085,,RPI369,1.55,2.03,4,3.3,0.0315,3.3,4,1.76
RPI369,,sort random,0.912926073,0.935989543,0.887382474,0.93851167,0.827823978,0.061488339,0.887382474,0.94396082,,RPI369,91.29,93.6,88.74,93.85,0.8278,6.15,88.74,94.4
RPI369,,sort random,0.0041027,0.0071013,0.0068911,0.0072254,0.0080466,0.0072254,0.0068911,0.0045633,,RPI369,0.41,0.71,0.69,0.72,0.008,0.72,0.69,0.46
RPI369,,sort,0.936989336,0.961556449,0.911069996,0.962802633,0.875573149,0.037197335,0.911069996,0.961659846,,RPI369,93.7,96.16,91.11,96.28,0.8756,3.72,91.11,96.17
RPI369,,sort,0.0041894,0.0050689,0.0055348,0.0049401,0.0083724,0.0049401,0.0055348,0.0029905,,RPI369,0.42,0.51,0.55,0.49,0.0084,0.49,0.55,0.3
RPI7317,,random,0.87395847,0.860625436,0.897789298,0.850132385,0.753375676,0.149867609,0.897789298,0.949955399,,RPI7317,87.4,86.06,89.78,85.01,0.7534,14.99,89.78,95
RPI7317,,random,0.0063167,0.0112529,0.0215846,0.0164004,0.0115255,0.0164004,0.0215846,0.0037435,,RPI7317,0.63,1.13,2.16,1.64,0.0115,1.64,2.16,0.37
RPI7317,,sort random,0.935150596,0.938558139,0.932947652,0.937349786,0.872246204,0.062650236,0.932947652,0.984358304,,RPI7317,93.52,93.86,93.29,93.73,0.8722,6.27,93.29,98.44
RPI7317,,sort random,0.0063846,0.0139786,0.0224186,0.0162178,0.0115126,0.0162178,0.0224186,0.001107,,RPI7317,0.64,1.4,2.24,1.62,0.0115,1.62,2.24,0.11
RPI7317,,sort,0.970978578,0.97605898,0.965955995,0.976001711,0.942206225,0.023998306,0.965955995,0.992614028,,RPI7317,97.1,97.61,96.6,97.6,0.9422,2.4,96.6,99.26
RPI7317,,sort,0.003301,0.0082349,0.0032182,0.0086018,0.0065731,0.0086018,0.0032182,0.000575,,RPI7317,0.33,0.82,0.32,0.86,0.0066,0.86,0.32,0.06
,,,,,,,,,,,,,,,,,,,,
,,ACC(%),Pre(%),Sen(%),Spe(%),MCC,FPR(%),TPR(%),AUC(%),,,,,,,,,,,
NPInter_10412,random,91.55¡À0.42,92.59¡À0.59,90.35¡À0.80,92.75¡À0.65,0.8315¡À0.0083,7.25¡À0.65,90.35¡À0.80,95.93¡À0.30,,,,,,,,,,,
,sort_random,97.39¡À0.23,97.80¡À0.34,96.98¡À0.31,97.80¡À0.35,0.9480¡À0.0046,2.20¡À0.35,96.98¡À0.31,99.61¡À0.04,,,,,,,,,,,
,sort,98.02¡À0.24,98.74¡À0.41,97.30¡À0.36,98.74¡À0.42,0.9607¡À0.0048,1.26¡À0.42,97.30¡À0.36,99.78¡À0.03,,,,,,,,,,,
RPI2241,random,55.75¡À0.69,56.32¡À1.21,54.69¡À4.91,56.81¡À5.60,0.1180¡À0.0138,43.19¡À5.60,54.69¡À4.91,58.77¡À0.67,,,,,,,,,,,
,sort_random,96.02¡À0.41,96.74¡À0.95,95.31¡À0.77,96.72¡À1.02,0.9210¡À0.0081,3.28¡À1.02,95.31¡À0.77,98.53¡À0.05,,,,,,,,,,,
,sort,97.09¡À0.27,97.51¡À0.52,96.69¡À0.29,97.50¡À0.55,0.9421¡À0.0053,2.50¡À0.55,96.69¡À0.29,98.97¡À0.08,,,,,,,,,,,
RPI369,random,35.82¡À1.55,35.67¡À2.03,36.23¡À4.00,35.42¡À3.30,-0.2859¡À0.0315,64.58¡À3.30,36.23¡À4.00,30.57¡À1.76,,,,,,,,,,,
,sort_random,91.29¡À0.41,93.60¡À0.71,88.74¡À0.69,93.85¡À0.72,0.8278¡À0.0080,6.15¡À0.72,88.74¡À0.69,94.40¡À0.46,,,,,,,,,,,
,sort,93.70¡À0.42,96.16¡À0.51,91.11¡À0.55,96.28¡À0.49,0.8756¡À0.0084,3.72¡À0.49,91.11¡À0.55,96.17¡À0.30,,,,,,,,,,,
RPI7317,random,87.40¡À0.63,86.06¡À1.13,89.78¡À2.16,85.01¡À1.64,0.7534¡À0.0115,14.99¡À1.64,89.78¡À2.16,95.00¡À0.37,,,,,,,,,,,
,sort_random,93.52¡À0.64,93.86¡À1.40,93.29¡À2.24,93.73¡À1.62,0.8722¡À0.0115,6.27¡À1.62,93.29¡À2.24,98.44¡À0.11,,,,,,,,,,,
,sort,97.10¡À0.33,97.61¡À0.82,96.60¡À0.32,97.60¡À0.86,0.9422¡À0.0066,2.40¡À0.86,96.60¡À0.32,99.26¡À0.06,,,,,,,,,,,
