,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC,,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC
one hot+stack+side,mean,0.76201875,0.759749449,0.557563868,0.966097748,0.548397233,0.033902259,0.557563868,0.943871139,,one hot+stack+side,0.762,0.7597,0.5576,0.9661,0.5484,0.0339,0.5576,0.9439
one hot+stack+side,std,0.0698132,0.132095,0.1506962,0.0194368,0.1269908,0.0194368,0.1506962,0.0105712,,one hot+stack+side,0.0698,0.1321,0.1507,0.0194,0.127,0.0194,0.1507,0.0106
one hot+stack+withoutside,mean,0.574921843,0.608995917,0.170651614,0.979444643,0.203226946,0.020555351,0.170651614,0.932630532,,one hot+stack+withoutside,0.5749,0.609,0.1707,0.9794,0.2032,0.0206,0.1707,0.9326
one hot+stack+withoutside,std,0.0484861,0.176794,0.1062145,0.0359694,0.1026259,0.0359694,0.1062145,0.0283516,,one hot+stack+withoutside,0.0485,0.1768,0.1062,0.036,0.1026,0.036,0.1062,0.0284
one hot+sum+side,mean,0.776896478,0.826649278,0.595823761,0.958008144,0.580911017,0.041991856,0.595823761,0.947970196,,one hot+sum+side,0.7769,0.8266,0.5958,0.958,0.5809,0.042,0.5958,0.948
one hot+sum+side,std,0.0717114,0.1281667,0.1602301,0.0220589,0.1244822,0.0220589,0.1602301,0.007978,,one hot+sum+side,0.0717,0.1282,0.1602,0.0221,0.1245,0.0221,0.1602,0.008
one hot+sum+withoutside,mean,0.565192138,0.541493517,0.158008139,0.972417617,0.180380832,0.027582378,0.158008139,0.921172364,,one hot+sum+withoutside,0.5652,0.5415,0.158,0.9724,0.1804,0.0276,0.158,0.9212
one hot+sum+withoutside,std,0.0305052,0.1958016,0.0735115,0.0519312,0.0584769,0.0519312,0.0735115,0.0438701,,one hot+sum+withoutside,0.0305,0.1958,0.0735,0.0519,0.0585,0.0519,0.0735,0.0439
random+stack+side,mean,0.938752547,0.957887984,0.918644965,0.958741158,0.878697767,0.041258794,0.918644965,0.96270583,,random+stack+side,0.9388,0.9579,0.9186,0.9587,0.8787,0.0413,0.9186,0.9627
random+stack+side,std,0.0031126,0.0042192,0.0046083,0.0043776,0.0060975,0.0043776,0.0046083,0.0030981,,random+stack+side,0.0031,0.0042,0.0046,0.0044,0.0061,0.0044,0.0046,0.0031
random+stack+withoutside,mean,0.937128149,0.956276636,0.917034442,0.957108445,0.875490975,0.042891523,0.917034442,0.963209447,,random+stack+withoutside,0.9371,0.9563,0.917,0.9571,0.8755,0.0429,0.917,0.9632
random+stack+withoutside,std,0.0053942,0.0056132,0.0089546,0.0055367,0.0107074,0.0055368,0.0089546,0.0011563,,random+stack+withoutside,0.0054,0.0056,0.009,0.0055,0.0107,0.0055,0.009,0.0012
random+sum+side,mean,0.93536956,0.958124907,0.911343965,0.959281731,0.872224614,0.040718252,0.911343965,0.963748787,,random+sum+side,0.9354,0.9581,0.9113,0.9593,0.8722,0.0407,0.9113,0.9637
random+sum+side,std,0.0059556,0.0083258,0.0061251,0.0081621,0.0120646,0.0081621,0.0061251,0.0018191,,random+sum+side,0.006,0.0083,0.0061,0.0082,0.0121,0.0082,0.0061,0.0018
random+sum+withoutside,mean,0.936040658,0.956890346,0.914061482,0.95791556,0.87337756,0.042084413,0.914061482,0.963307934,,random+sum+withoutside,0.936,0.9569,0.9141,0.9579,0.8734,0.0421,0.9141,0.9633
random+sum+withoutside,std,0.0034917,0.0054209,0.0044159,0.0054511,0.0070972,0.0054511,0.0044159,0.0016456,,random+sum+withoutside,0.0035,0.0054,0.0044,0.0055,0.0071,0.0055,0.0044,0.0016
,,,,,,,,,,,,,,,,,,,
,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC,,,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC
one hot+stack+side,0.7620¡À0.0698,0.7597¡À0.1321,0.5576¡À0.1507,0.9661¡À0.0194,0.5484¡À0.1270,0.0339¡À0.0194,0.5576¡À0.1507,0.9439¡À0.0106,,,one hot+stack+side,76.2,75.97,55.76,96.61,54.84,3.39,55.76,94.39
one hot+stack+withoutside,0.5749¡À0.0485,0.6090¡À0.1768,0.1707¡À0.1062,0.9794¡À0.0360,0.2032¡À0.1026,0.0206¡À0.0360,0.1707¡À0.1062,0.9326¡À0.0284,,,one hot+stack+side,6.98,13.21,15.07,1.94,12.7,1.94,15.07,1.06
one hot+sum+side,0.7769¡À0.0717,0.8266¡À0.1282,0.5958¡À0.1602,0.9580¡À0.0221,0.5809¡À0.1245,0.0420¡À0.0221,0.5958¡À0.1602,0.9480¡À0.0080,,,one hot+stack+withoutside,57.49,60.9,17.07,97.94,20.32,2.06,17.07,93.26
one hot+sum+withoutside,0.5652¡À0.0305,0.5415¡À0.1958,0.1580¡À0.0735,0.9724¡À0.0519,0.1804¡À0.0585,0.0276¡À0.0519,0.1580¡À0.0735,0.9212¡À0.0439,,,one hot+stack+withoutside,4.85,17.68,10.62,3.6,10.26,3.6,10.62,2.84
random+stack+side,0.9388¡À0.0031,0.9579¡À0.0042,0.9186¡À0.0046,0.9587¡À0.0044,0.8787¡À0.0061,0.0413¡À0.0044,0.9186¡À0.0046,0.9627¡À0.0031,,,one hot+sum+side,77.69,82.66,59.58,95.8,58.09,4.2,59.58,94.8
random+stack+withoutside,0.9371¡À0.0054,0.9563¡À0.0056,0.9170¡À0.0090,0.9571¡À0.0055,0.8755¡À0.0107,0.0429¡À0.0055,0.9170¡À0.0090,0.9632¡À0.0012,,,one hot+sum+side,7.17,12.82,16.02,2.21,12.45,2.21,16.02,0.8
random+sum+side,0.9354¡À0.0060,0.9581¡À0.0083,0.9113¡À0.0061,0.9593¡À0.0082,0.8722¡À0.0121,0.0407¡À0.0082,0.9113¡À0.0061,0.9637¡À0.0018,,,one hot+sum+withoutside,56.52,54.15,15.8,97.24,18.04,2.76,15.8,92.12
random+sum+withoutside,0.9360¡À0.0035,0.9569¡À0.0054,0.9141¡À0.0044,0.9579¡À0.0055,0.8734¡À0.0071,0.0421¡À0.0055,0.9141¡À0.0044,0.9633¡À0.0016,,,one hot+sum+withoutside,3.05,19.58,7.35,5.19,5.85,5.19,7.35,4.39
,,,,,,,,,,,random+stack+side,93.88,95.79,91.86,95.87,87.87,4.13,91.86,96.27
,,,,,,,,,,,random+stack+side,0.31,0.42,0.46,0.44,0.61,0.44,0.46,0.31
,,,,,,,,,,,random+stack+withoutside,93.71,95.63,91.7,95.71,87.55,4.29,91.7,96.32
,,,,,,,,,,,random+stack+withoutside,0.54,0.56,0.9,0.55,1.07,0.55,0.9,0.12
,,,,,,,,,,,random+sum+side,93.54,95.81,91.13,95.93,87.22,4.07,91.13,96.37
,,,,,,,,,,,random+sum+side,0.6,0.83,0.61,0.82,1.21,0.82,0.61,0.18
,,,,,,,,,,,random+sum+withoutside,93.6,95.69,91.41,95.79,87.34,4.21,91.41,96.33
,,,,,,,,,,,random+sum+withoutside,0.35,0.54,0.44,0.55,0.71,0.55,0.44,0.16
,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC,,,,,,,,,,,
one hot+stack+side,76.20¡À6.98,75.97¡À13.21,55.76¡À15.07,96.61¡À1.94,0.5484¡À0.1270,3.39¡À1.94,55.76¡À15.07,94.39¡À1.06,,,,,,,,,,,
one hot+stack+withoutside,57.49¡À4.85,60.90¡À17.68,17.07¡À10.62,97.94¡À3.60,0.2032¡À0.1026,2.06¡À3.60,17.07¡À10.62,93.26¡À2.84,,,,,,,,,,,
one hot+sum+side,77.69¡À7.17,82.66¡À12.82,59.58¡À16.02,95.80¡À2.21,0.5809¡À0.1245,4.20¡À2.21,59.58¡À16.02,94.80¡À0.80,,,,,,,,,,,
one hot+sum+withoutside,56.52¡À3.05,54.15¡À19.58,15.80¡À7.35,97.24¡À5.19,0.1804¡À0.0585,2.76¡À5.19,15.80¡À7.35,92.12¡À4.39,,,,,,,,,,,
random+stack+side,93.88¡À0.31,95.79¡À0.42,91.86¡À0.46,95.87¡À0.44,0.8787¡À0.0061,4.13¡À0.44,91.86¡À0.46,96.27¡À0.31,,,,,,,,,,,
random+stack+withoutside,93.71¡À0.54,95.63¡À0.56,91.70¡À0.90,95.71¡À0.55,0.8755¡À0.0107,4.29¡À0.55,91.70¡À0.90,96.32¡À0.12,,,,,,,,,,,
random+sum+side,93.54¡À0.60,95.81¡À0.83,91.13¡À0.61,95.93¡À0.82,0.8722¡À0.0121,4.07¡À0.82,91.13¡À0.61,96.37¡À0.18,,,,,,,,,,,
random+sum+withoutside,93.60¡À0.35,95.69¡À0.54,91.41¡À0.44,95.79¡À0.55,0.8734¡À0.0071,4.21¡À0.55,91.41¡À0.44,96.33¡À0.16,,,,,,,,,,,
